repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
Clay-foundation/model,540,92,2023-09-29T12:08:10Z,2026-03-09T13:38:54Z,134,https://github.com/Clay-foundation/model,The Clay Foundation Model - An open source AI model and interface for Earth,"Python,Jupyter Notebook,Shell",22,40,Apache-2.0,"earth-observation,foundation-model,sentinel-2,sentinel-1,digital-elevation-model,embeddings",True,False,main,False,22,6,16,0.727
eopf-toolkit/eopf-101,35,15,2025-04-16T07:46:31Z,2026-03-10T12:50:05Z,140,https://github.com/eopf-toolkit/eopf-101,EOPF 101 introduces you to tools and practical examples working with Sentinel Zarr data created by the ESA EOPF Sample Service.,"Jupyter Notebook,Python,Shell,Makefile,HTML",3,12,Apache-2.0,"copernicus,eopf,esa,sentinels",False,False,main,False,19,4,15,0.789
geoarrow/geoarrow,518,27,2020-04-06T21:00:33Z,2026-03-09T07:53:06Z,43,https://github.com/geoarrow/geoarrow,Specification for storing geospatial data in Apache Arrow,,49,14,BSD-3-Clause,"apache-arrow,geoarrow,geospatial",True,True,main,False,11,1,10,0.909
geoarrow/geoarrow-rs,394,43,2023-06-30T22:18:22Z,2026-03-09T16:51:46Z,909,https://github.com/geoarrow/geoarrow-rs,"GeoArrow in Rust, Python, and JavaScript (WebAssembly) with vectorized geometry operations","Rust,Python,Jupyter Notebook,Shell,TypeScript,CSS",9,79,Apache-2.0,"geospatial,rust,wasm-bindgen,webassembly,apache-arrow,javascript,typescript,geoarrow,pyo3,python,geoparquet",True,False,main,False,21,3,18,0.857
geoarrow/deck.gl-layers,151,11,2023-08-07T19:34:30Z,2026-02-26T03:24:48Z,103,https://github.com/geoarrow/deck.gl-layers,deck.gl layers for rendering GeoArrow data,"TypeScript,JavaScript,Python",10,28,MIT,"apache-arrow,deck-gl,geoarrow,data-visualization,geospatial,map-visualization",False,True,main,False,5,1,4,0.8
OSMCha/osmcha-frontend,142,43,2017-04-04T05:10:25Z,2026-02-20T19:10:22Z,1200,https://github.com/OSMCha/osmcha-frontend, Frontend for the osmcha-django REST API,"TypeScript,CSS,JavaScript,HTML,Dockerfile,Shell",93,283,ISC,"dataquality,openstreetmap,osm,osmcha,qa",False,True,main,False,26,3,23,0.885
OSMCha/osmcha-django,40,23,2015-08-04T01:33:13Z,2026-02-20T01:48:32Z,1271,https://github.com/OSMCha/osmcha-django,A database manager and API for OSMCha,"Python,HTML,Shell,Dockerfile",8,22,NOASSERTION,"openstreetmap,qa,gis,django,osm",False,True,main,False,13,3,10,0.769
source-cooperative/source.coop,22,9,2024-07-15T14:11:59Z,2026-03-05T20:32:08Z,590,https://github.com/source-cooperative/source.coop,Source Cooperative Web Interface & API,"TypeScript,CSS,Shell,JavaScript",2,31,NOASSERTION,,False,True,main,False,11,1,10,0.909
virtual-zarr/obspec-utils,9,2,2025-06-20T19:49:00Z,2026-01-29T12:15:48Z,53,https://github.com/virtual-zarr/obspec-utils,"Utilities for interacting with object storage, based on obspec",Python,0,0,,,False,False,main,False,0,0,0,0.0
opengeospatial/geoparquet,1026,64,2021-07-30T18:06:15Z,2026-03-09T13:29:00Z,137,https://github.com/opengeospatial/geoparquet,"Specification for storing geospatial vector data (point, line, polygon) in Parquet",Python,58,46,Apache-2.0,"gis,cloud-native,geospatial,apache-parquet,geoparquet",True,True,main,False,24,1,23,0.958
beatrizbsperes/eopf-101,0,0,2026-01-08T08:19:40Z,2026-02-14T14:14:13Z,124,https://github.com/beatrizbsperes/eopf-101,EOPF 101 introduces you to tools and practical examples working with Sentinel Zarr data created by the ESA EOPF Sample Service.,"Jupyter Notebook,Python,Shell,Makefile,HTML",0,0,Apache-2.0,,False,False,main,False,17,4,13,0.765
developmentseed/obspec-utils,12,2,2025-06-20T19:49:00Z,2026-02-18T20:51:51Z,55,https://github.com/developmentseed/obspec-utils,"Utilities for interacting with object storage, based on obspec",Python,3,9,Apache-2.0,,False,True,main,False,1,1,0,0.0
developmentseed/openeo-studio,4,0,2025-11-13T10:05:43Z,2026-02-26T19:05:56Z,173,https://github.com/developmentseed/openeo-studio,Applying openEO processes for visual data exploration,"TypeScript,Python,JavaScript,HTML,Shell",1,15,MIT,,False,True,main,False,4,4,0,0.0
