author_name,tier
ATL2001,community
Abhemanyu Sarin,community
Aimee Barciauskas,core
Alex Bush,core
Alexandra Kirk,core
Anand Mahesh,community
Andrea Giardini,community
Andrew Harvey,community
Anish Bhusal,community
Anthony Boyd,core
Anthony Goddard,community
Anthony Lukach,core
Bjørn Lie Rapp,community
Chris Gervang,community
Chris Holden,community
Christian Gass,community
Ciaran Sweet,core
Dan Hirst,community
Dan Schoppe,community
Daniel Sparing,community
Darell,community
David Bitner,community
David Brochart,community
DeflateAwning,community
Denis Rykov,community
Dimple Jain,community
Dr. Andrew Annex,community
Emma Paz,core
Emmanuel Ferdman,community
Emmanuel Mathot,community
Enrico Ubaldi,community
F Skold,community
Frederico Liporace,community
Grant,community
Henry Rodman,core
Iman Shafiei,community
Isayah Vidito,core
Jacob Wasserman,community
Jamison French,community
Jason Giancono,community
Jay Cary,community
Jeff Albrecht,community
Jennifer Tran,core
Jeremy T. Hetzel,community
Jin Igarashi,community
Jonas,community
Jonathan Chemla,community
Joris Van den Bossche,community
José L. Patiño Andrés,community
Jt Miclat,community
Julia Signell,community
Kamil Raczycki,community
Kiri,core
KotaYuhara,community
Kyle Barron,core
Leo Thomas,core
Leonid,community
Mack Delany,community
Maik Fischer,community
Marc Skov Madsen,community
Matt Fisher,community
Max Jones,core
Nathan Zimmerman,core
Neil Halelamien,community
Ofir Makmal,community
Oleksii Vykaliuk,community
Oliver Roick,community
Pablo Padua,community
Pete Gadomski,core
Prakash Chaudhary,core
Pratap Vardhan,core
Qiusheng Wu,community
RichardScottOZ,community
Robin Wilson,community
Saadiq Mohiuddin,core
Sam Murphy,community
Sam Neubardt,community
Scott Henderson,community
Sean Harkins,core
Simon Ouellet,community
Skaidus,community
Slesa Adhikari,core
Stefanos Mousafeiris,community
Stephen Kilbourn,core
Taylor Denouden,community
Tom Christian,community
Trenton Lipscomb,community
Tyler Erickson,community
Vincent Sarago,core
Vitor George,core
Will Roper,community
Wille Marcel,community
catplanck,community
eli knaap,community
guillemc23,community
holgerbach,community
jon,community
jwardbond,community
lorenzori,community
mattmatt.world,core
mattmatt.world ,sponsored
mindless-bureaucrat,community
nate giraldi,community
sandrahoang686,core
shawnboltz,community
shriv,community
sudobangbang,core
