author_name,repo,commit_count,commit_sec_min,commit_sec_max,contribution_span_days,is_recent_contributor,tier
Isayah Vidito,developmentseed/titiler-cmr,2,1764026104,1764032487,0,False,sponsored
Max Jones,developmentseed/titiler-cmr,1,1724171469,1724171469,0,False,sponsored
Henry Rodman,developmentseed/titiler-cmr,41,1728919558,1768602872,0,False,sponsored
Aimee Barciauskas,developmentseed/titiler-cmr,175,1705427308,1768520100,0,False,sponsored
Vincent Sarago,developmentseed/titiler-cmr,67,1705495578,1711118618,0,False,sponsored
Chuck Daniels,developmentseed/titiler-cmr,5,1765399326,1769201681,0,False,sponsored
Henry Rodman,developmentseed/rio-stac,2,1683132742,1683133093,0,False,sponsored
Daniel Wiesmann,developmentseed/rio-stac,1,1756306256,1756306256,0,False,sponsored
Vincent Sarago,developmentseed/rio-stac,159,1588959271,1762934435,0,False,sponsored
Vitor George,developmentseed/lonboard,15,1697555970,1765456518,0,False,sponsored
Chris Holden,developmentseed/lonboard,1,1738778383,1738778383,0,False,sponsored
Emma Paz,developmentseed/lonboard,4,1704982856,1708978921,46,False,sponsored
Aimee Barciauskas,developmentseed/lonboard,5,1695751913,1700690513,57,False,sponsored
Kyle Barron,developmentseed/lonboard,414,1693518811,1769702447,0,False,sponsored
Wille Marcel,developmentseed/lonboard,2,1714083457,1730901566,194,False,sponsored
Vincent Sarago,developmentseed/lonboard,1,1697573619,1697573619,0,False,sponsored
Sanjay Bhangar,developmentseed/moz-proenergia-backend,44,1765441644,1769683778,0,False,sponsored
Wille Marcel,developmentseed/moz-proenergia-backend,34,1764711026,1769696561,0,False,sponsored
Emmanuel Mathot,developmentseed/openeo-studio,13,1765798729,1769029533,0,False,sponsored
Daniel da Silva,developmentseed/openeo-studio,14,1762949825,1768403620,0,False,sponsored
Alice Rühl,developmentseed/openeo-studio,103,1763451155,1769707050,0,False,sponsored
Emmanuel Mathot,developmentseed/openeo-udp,2,1765539066,1765880117,0,False,sponsored
Olaf Veerman,developmentseed/openeo-udp,2,1763389980,1763390232,0,False,sponsored
Zac Deziel,developmentseed/openeo-udp,3,1768998307,1769626048,0,False,sponsored
Vincent Sarago,developmentseed/rio-viz,129,1562339460,1742485839,2085,False,sponsored
Vitor George,developmentseed/osm-teams,355,1644947594,1674746983,344,False,sponsored
