repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_devseed_contributors,repo_external_contributors,repo_community_ratio
Clay-foundation/model,535,91,2023-09-29T12:08:10Z,2026-02-16T22:18:04Z,134,https://github.com/Clay-foundation/model,The Clay Foundation Model - An open source AI model and interface for Earth,"Python,Jupyter Notebook,Shell",22,40,Apache-2.0,"earth-observation,foundation-model,sentinel-2,sentinel-1,digital-elevation-model,embeddings",True,False,main,False,22,6,16,0.727
eopf-toolkit/eopf-101,32,14,2025-04-16T07:46:31Z,2026-02-17T10:56:41Z,130,https://github.com/eopf-toolkit/eopf-101,EOPF 101 introduces you to tools and practical examples working with Sentinel Zarr data created by the ESA EOPF Sample Service.,"Jupyter Notebook,Python,Shell,Makefile,HTML",3,14,Apache-2.0,"copernicus,eopf,esa,sentinels",False,False,main,False,18,4,14,0.778
geoarrow/geoarrow,516,27,2020-04-06T21:00:33Z,2026-02-01T09:18:10Z,43,https://github.com/geoarrow/geoarrow,Specification for storing geospatial data in Apache Arrow,,49,14,BSD-3-Clause,"apache-arrow,geoarrow,geospatial",True,True,main,False,11,1,10,0.909
geoarrow/geoarrow-rs,392,42,2023-06-30T22:18:22Z,2026-02-16T07:27:47Z,909,https://github.com/geoarrow/geoarrow-rs,"GeoArrow in Rust, Python, and JavaScript (WebAssembly) with vectorized geometry operations","Rust,Python,Jupyter Notebook,Shell,TypeScript,CSS",9,78,Apache-2.0,"geospatial,rust,wasm-bindgen,webassembly,apache-arrow,javascript,typescript,geoarrow,pyo3,python,geoparquet",True,False,main,False,21,3,18,0.857
geoarrow/deck.gl-layers,149,11,2023-08-07T19:34:30Z,2026-02-09T18:16:17Z,103,https://github.com/geoarrow/deck.gl-layers,deck.gl layers for rendering GeoArrow data,"TypeScript,JavaScript,Python",10,28,MIT,"apache-arrow,deck-gl,geoarrow,data-visualization,geospatial,map-visualization",False,True,main,False,5,1,4,0.8
OSMCha/osmcha-frontend,142,43,2017-04-04T05:10:25Z,2026-02-07T17:38:52Z,1146,https://github.com/OSMCha/osmcha-frontend, Frontend for the osmcha-django REST API,"JavaScript,CSS,HTML,Dockerfile",95,289,ISC,"dataquality,openstreetmap,osm,osmcha,qa",False,True,main,False,26,3,23,0.885
OSMCha/osmcha-django,40,24,2015-08-04T01:33:13Z,2026-01-31T00:38:10Z,1265,https://github.com/OSMCha/osmcha-django,A database manager and API for OSMCha,"Python,HTML,Shell,Dockerfile",9,42,NOASSERTION,"openstreetmap,qa,gis,django,osm",False,True,main,False,14,3,11,0.786
source-cooperative/source.coop,21,8,2024-07-15T14:11:59Z,2026-02-16T14:46:43Z,590,https://github.com/source-cooperative/source.coop,Source Cooperative Web Interface & API,"TypeScript,CSS,Shell,JavaScript",2,31,NOASSERTION,,False,True,main,False,11,1,10,0.909
virtual-zarr/obspec-utils,9,2,2025-06-20T19:49:00Z,2026-01-29T12:15:48Z,53,https://github.com/virtual-zarr/obspec-utils,"Utilities for interacting with object storage, based on obspec",Python,0,0,,,False,False,main,False,0,0,0,0.0
opengeospatial/geoparquet,1019,63,2021-07-30T18:06:15Z,2026-02-16T09:35:38Z,136,https://github.com/opengeospatial/geoparquet,"Specification for storing geospatial vector data (point, line, polygon) in Parquet",Python,58,46,Apache-2.0,"gis,cloud-native,geospatial,apache-parquet,geoparquet",True,True,main,False,23,1,22,0.957
beatrizbsperes/eopf-101,0,0,2026-01-08T08:19:40Z,2026-02-14T14:14:13Z,124,https://github.com/beatrizbsperes/eopf-101,EOPF 101 introduces you to tools and practical examples working with Sentinel Zarr data created by the ESA EOPF Sample Service.,"Jupyter Notebook,Python,Shell,Makefile,HTML",0,0,Apache-2.0,,False,False,main,False,17,4,13,0.765
developmentseed/obspec-utils,11,2,2025-06-20T19:49:00Z,2026-02-16T19:08:19Z,55,https://github.com/developmentseed/obspec-utils,"Utilities for interacting with object storage, based on obspec",Python,3,9,Apache-2.0,,False,True,main,False,1,1,0,0.0
developmentseed/openeo-studio,3,0,2025-11-13T10:05:43Z,2026-02-17T15:45:49Z,170,https://github.com/developmentseed/openeo-studio,Applying openEO processes for visual data exploration,"TypeScript,Python,JavaScript,HTML,Shell",1,14,MIT,,False,True,main,False,4,4,0,0.0
developmentseed/stac-map,71,8,2025-05-19T17:37:38Z,2026-02-17T12:08:23Z,338,https://github.com/developmentseed/stac-map,"A map-first STAC search and visualization tool, with stac-geoparquet support","TypeScript,JavaScript,HTML",4,32,MIT,"stac,stac-geoparquet",True,False,main,False,9,5,4,0.444
developmentseed/moz-proenergia-backend,0,0,2025-12-01T20:18:51Z,2026-02-18T06:47:47Z,155,https://github.com/developmentseed/moz-proenergia-backend,Mozambique PROENERGIA+ backend,"Python,Shell,Dockerfile",1,13,,,False,True,main,False,2,2,0,0.0
developmentseed/titiler-cmr,21,5,2024-01-16T17:47:13Z,2026-02-13T16:22:34Z,344,https://github.com/developmentseed/titiler-cmr,Dynamic tiles from CMR queries,"Python,HTML,Dockerfile",6,29,MIT,,True,True,develop,False,7,6,1,0.143
developmentseed/titiler,1051,218,2019-06-28T16:54:56Z,2026-02-13T09:01:34Z,907,https://github.com/developmentseed/titiler,Build your own Raster dynamic map tile services,"Python,HTML,Jupyter Notebook,Dockerfile,Mustache,Shell",19,25,MIT,"fastapi,cog,aws-cdk,aws-lambda,stac,cogeotiff,mosaicjson,raster,dynamic,server,rest,gdal,rasterio,tile,map-tile-server,map-tiles",True,False,main,False,75,13,62,0.827
developmentseed/deck.gl-raster,141,6,2025-12-04T20:23:44Z,2026-02-18T11:10:39Z,120,https://github.com/developmentseed/deck.gl-raster,"Client-side, GPU-accelerated Cloud-Optimized GeoTIFF visualization in deck.gl",TypeScript,6,72,MIT,"cloud-optimized-geotiff,deck-gl,geospatial-visualization,geotiff,raster,zarr,webgl2",False,True,main,False,4,2,2,0.5
developmentseed/geojson-pydantic,275,39,2020-05-21T22:29:07Z,2026-02-11T09:55:13Z,324,https://github.com/developmentseed/geojson-pydantic,Pydantic data models for the GeoJSON spec,Python,12,6,MIT,"geojson,pydantic,geojson-spec",True,False,main,False,20,2,18,0.9
developmentseed/eoapi-cdk,25,7,2022-10-04T21:12:48Z,2026-02-11T15:35:36Z,243,https://github.com/developmentseed/eoapi-cdk,AWS CDK constructs for deploying eoAPI,"Python,TypeScript,Shell,Dockerfile",3,28,MIT,"cdk,eoapi,iac",True,True,main,False,12,9,3,0.25
developmentseed/osm-seed,161,37,2018-05-04T10:49:36Z,2025-10-02T15:09:00Z,966,https://github.com/developmentseed/osm-seed,A collection of Dockerfiles to run a containerized version of OpenStreetMap,"Shell,PLpgSQL,Dockerfile,Python,C,HTML,JavaScript,Mustache,Makefile,Ruby",0,0,,,False,False,main,False,0,0,0,0.0
developmentseed/pixelverse,24,0,2025-10-16T20:11:49Z,2026-02-16T19:10:02Z,64,https://github.com/developmentseed/pixelverse,Cloud Native Toolings to Access + Generate Geospatial Embeddings,"Jupyter Notebook,Python",2,8,MIT,,False,False,main,False,3,2,1,0.333
developmentseed/cql2-rs,19,2,2024-07-15T14:18:59Z,2026-02-12T01:32:02Z,201,https://github.com/developmentseed/cql2-rs,Rust library and Python bindings for parsing the OGC CQL2 filter language,"Rust,JavaScript,Python,Shell",5,8,MIT,,False,False,main,False,8,5,3,0.375
developmentseed/rio-stac,91,19,2020-05-08T17:34:30Z,2026-02-16T19:11:17Z,174,https://github.com/developmentseed/rio-stac,Create STAC item from raster datasets,Python,11,7,MIT,,False,False,main,False,10,3,7,0.7
developmentseed/morecantile,154,30,2020-01-23T21:12:58Z,2026-02-16T08:44:11Z,544,https://github.com/developmentseed/morecantile,Construct and use OGC TileMatrixSets (TMS),Python,8,7,MIT,,True,False,main,False,13,4,9,0.692
developmentseed/eoAPI,293,26,2021-08-11T21:36:09Z,2026-02-10T03:23:52Z,340,https://github.com/developmentseed/eoAPI,"[Active Development] Earth Observation API (Metadata, Raster and Vector services)","Shell,Makefile,JavaScript",10,19,MIT,eoapi,True,False,main,False,19,12,7,0.368
developmentseed/openeo-udp,0,0,2025-11-17T14:32:59Z,2026-02-03T22:22:02Z,10,https://github.com/developmentseed/openeo-udp,A collection of User-Defined Processes for OpenEO,"Jupyter Notebook,Python",1,14,MIT,,False,False,main,False,4,3,1,0.25
developmentseed/eoapi-k8s,27,14,2023-06-07T13:38:32Z,2026-02-18T10:05:10Z,706,https://github.com/developmentseed/eoapi-k8s,eoAPI Kubernetes deployments with helm charts.,"Python,Shell,Go Template,PLpgSQL",6,6,MIT,"eoapi,earth-observation,gis,kubernetes",True,False,main,False,20,8,12,0.6
developmentseed/eo-predictor,12,0,2025-07-24T12:29:14Z,2026-02-18T03:09:52Z,271,https://github.com/developmentseed/eo-predictor,Predicts and visualizes upcoming potential EO images,"TypeScript,Python,CSS,JavaScript,HTML",0,9,MIT,,True,False,main,False,5,3,2,0.4
developmentseed/stac-auth-proxy,38,5,2024-11-28T16:55:02Z,2026-02-12T01:52:45Z,260,https://github.com/developmentseed/stac-auth-proxy,Reverse proxy to mediate communication between a client and an internally accessible STAC API in order to provide a flexible authentication mechanism.,"Python,Makefile,Go Template,Dockerfile",5,21,MIT,,True,False,main,False,6,4,2,0.333
developmentseed/obstore,687,28,2024-10-17T19:46:34Z,2026-02-15T12:53:14Z,336,https://github.com/developmentseed/obstore,"The simplest, highest-throughput Python interface to S3, GCS & Azure Storage, powered by Rust.","Python,Rust",9,57,MIT,"azure,google-cloud-storage,object-store,python,rust,s3,cloudflare-r2,amazon-s3,azure-storage",True,True,main,False,18,7,11,0.611
developmentseed/tipg,200,36,2022-10-05T16:03:59Z,2026-02-15T02:43:15Z,730,https://github.com/developmentseed/tipg,Simple and Fast Geospatial OGC Features and Tiles API for PostGIS.,"PLpgSQL,Python,HTML,Shell,Dockerfile",8,29,MIT,,True,False,main,False,17,6,11,0.647
developmentseed/lonboard,909,47,2023-08-31T21:48:10Z,2026-02-17T00:29:03Z,571,https://github.com/developmentseed/lonboard,"A Python library for fast, interactive geospatial data visualization in Jupyter.","Python,TypeScript,JavaScript,CSS",13,112,MIT,"anywidget,apache-arrow,deck-gl,geoarrow,geopandas,jupyter,jupyter-widget,map-visualization,data-visualization,geospatial-analysis,maps,python,visualization,webgl,geoparquet,apache-parquet,parquet,geospatial,lonboard",True,True,main,False,24,7,17,0.708
developmentseed/geotiff-test-data,5,2,2026-01-23T03:38:04Z,2026-02-13T22:12:42Z,23,https://github.com/developmentseed/geotiff-test-data,Test data for geotiff parsers,"Python,Shell",2,3,MIT,,False,True,main,False,3,2,1,0.333
