author_name,tier
ATL2001,community
Abhemanyu Sarin,community
Aimee Barciauskas,sponsored
Alex Bush,sponsored
Alexandra Kirk,sponsored
Anand Mahesh,community
Andrea Giardini,community
Andrew Harvey,community
Anish Bhusal,community
Anthony Boyd,sponsored
Anthony Goddard,community
Anthony Lukach,sponsored
Bjørn Lie Rapp,community
Chris Gervang,community
Chris Holden,community
Christian Gass,community
Ciaran Sweet,sponsored
Dan Hirst,community
Dan Schoppe,community
Daniel Sparing,community
Darell,community
David Bitner,community
David Brochart,community
DeflateAwning,community
Denis Rykov,community
Dimple Jain,community
Dr. Andrew Annex,community
Emma Paz,sponsored
Emmanuel Ferdman,community
Emmanuel Mathot,community
Enrico Ubaldi,community
F Skold,community
Frederico Liporace,community
Grant,community
Henry Rodman,sponsored
Iman Shafiei,community
Isayah Vidito,sponsored
Jacob Wasserman,community
Jamison French,community
Jason Giancono,community
Jay Cary,community
Jeff Albrecht,community
Jennifer Tran,sponsored
Jeremy T. Hetzel,community
Jin Igarashi,community
Jonas,community
Jonathan Chemla,community
Joris Van den Bossche,community
José L. Patiño Andrés,community
Jt Miclat,community
Julia Signell,community
Kamil Raczycki,community
Kiri,sponsored
KotaYuhara,community
Kyle Barron,sponsored
Leo Thomas,sponsored
Leonid,community
Mack Delany,community
Maik Fischer,community
Marc Skov Madsen,community
Matt Fisher,community
Max Jones,sponsored
Nathan Zimmerman,sponsored
Neil Halelamien,community
Ofir Makmal,community
Oleksii Vykaliuk,community
Oliver Roick,community
Pablo Padua,community
Pete Gadomski,sponsored
Prakash Chaudhary,sponsored
Pratap Vardhan,sponsored
Qiusheng Wu,community
RichardScottOZ,community
Robin Wilson,community
Saadiq Mohiuddin,sponsored
Sam Murphy,community
Sam Neubardt,community
Scott Henderson,community
Sean Harkins,sponsored
Simon Ouellet,community
Skaidus,community
Slesa Adhikari,sponsored
Stefanos Mousafeiris,community
Stephen Kilbourn,sponsored
Taylor Denouden,community
Tom Christian,community
Trenton Lipscomb,community
Tyler Erickson,community
Vincent Sarago,sponsored
Vitor George,sponsored
Will Roper,community
Wille Marcel,community
catplanck,community
eli knaap,community
guillemc23,community
holgerbach,community
jon,community
jwardbond,community
lorenzori,community
mattmatt.world,sponsored
mattmatt.world ,sponsored
mindless-bureaucrat,community
nate giraldi,community
sandrahoang686,sponsored
shawnboltz,community
shriv,community
sudobangbang,sponsored
