repo,repo_stars,repo_forks,repo_createdAt,repo_updatedAt,repo_total_commits,repo_url,repo_description,repo_languages,repo_watchers,repo_open_issues,repo_license,repo_topics,repo_has_discussions,repo_has_wiki,repo_default_branch,repo_archived,repo_total_contributors,repo_core_contributors,repo_external_contributors,repo_community_ratio
virtual-zarr/obspec-utils,9,2,2025-06-20T19:49:00Z,2026-01-29T12:15:48Z,53,https://github.com/virtual-zarr/obspec-utils,"Utilities for interacting with object storage, based on obspec",Python,0,0,,,False,False,main,False,0,0,0,0.0
radiantearth/stac-spec,923,188,2017-05-10T15:25:31Z,2026-08-30T09:01:42Z,3223,https://github.com/radiantearth/stac-spec,SpatioTemporal Asset Catalog specification - making geospatial assets openly searchable and crawlable,"JavaScript,url",72,47,Apache-2.0,"satellites,satellite-imagery,earth-observation,earth-observation-catalogue",True,False,master,False,57,4,53,0.93
radiantearth/stac-api-spec,290,55,2020-03-02T16:21:32Z,2026-08-30T05:20:33Z,2790,https://github.com/radiantearth/stac-api-spec,SpatioTemporal Asset Catalog API specification - an API to make geospatial assets openly searchable and crawlable,"JavaScript,HTML,Shell,url",19,28,Apache-2.0,"ogc-api,stac-api,spatiotemporal-asset-catalog",True,True,release/v1.0.0,False,45,3,42,0.933
Disasters-Learning-Portal/veda-disasters,0,1,2025-05-19T16:18:37Z,2026-03-27T19:52:23Z,495,https://github.com/Disasters-Learning-Portal/veda-disasters,Disasters Mapping Portal,"MDX,TypeScript,JavaScript,SCSS,Shell,CSS,url",1,0,MIT,,True,True,main,False,13,6,7,0.538
NASA-IMPACT/csda-client,9,2,2020-05-11T18:27:35Z,2026-08-10T12:36:51Z,157,https://github.com/NASA-IMPACT/csda-client,A Python API client for CSDA,"Python,url",12,4,MIT,,False,False,main,False,16,7,9,0.562
NASA-IMPACT/veda-config,35,47,2021-12-06T22:38:21Z,2026-07-29T16:09:05Z,3047,https://github.com/NASA-IMPACT/veda-config,Configuration template for the Dashboard Evolution Project,"MDX,TypeScript,JavaScript,SCSS,HTML,Shell,url",19,44,NOASSERTION,,False,True,develop,False,47,19,28,0.596
NASA-IMPACT/veda-ui,44,17,2021-12-06T22:35:36Z,2026-08-19T20:29:19Z,4576,https://github.com/NASA-IMPACT/veda-ui,Frontend for the Dashboard Evolution project,"TypeScript,JavaScript,MDX,SCSS,Shell,HTML,CSS,url",20,133,NOASSERTION,,False,True,main,False,28,13,15,0.536
NASA-IMPACT/veda-data-airflow,15,6,2023-02-01T18:26:15Z,2026-08-25T18:05:30Z,1324,https://github.com/NASA-IMPACT/veda-data-airflow,Airflow implementation of ingest pipeline for VEDA STAC data,"Python,HCL,Dockerfile,Shell,Go Template,Makefile,url",17,98,NOASSERTION,,False,True,dev,False,20,8,12,0.6
NASA-IMPACT/veda-keycloak,7,4,2024-10-16T16:51:26Z,2026-08-24T21:25:48Z,240,https://github.com/NASA-IMPACT/veda-keycloak,,"FreeMarker,Java,Python,CSS,Dockerfile,Shell,url",15,72,,"auth,keycloak",False,False,main,False,18,10,8,0.444
NASA-IMPACT/veda-deploy,0,1,2023-06-15T17:44:43Z,2026-08-20T05:08:27Z,594,https://github.com/NASA-IMPACT/veda-deploy,"This is a virtual repo that's created to deploy all the VEDA services (veda-backend, veda-auth, veda-stac-ingestor, veda-data-airflow) at once. It makes use of sub modules, composite actions within the other repos and github workflows for the deployment. It also takes care of the dependency between the deployments and runs them in proper order.","Python,url",14,21,,,False,True,dev,False,15,9,6,0.4
